"code","iso","country","RMS.ind.1995","RMS.ind.1996","RMS.ind.1997","RMS.ind.1998","RMS.ind.1999","RMS.ind.2000","RMS.ind.2001","RMS.ind.2002","RMS.ind.2003","RMS.ind.2004","RMS.ind.2005","RMS.ind.2006","RMS.ind.2007","RMS.ind.2008","RMS.ind.2009","RMS.ind.2010","RMS.ind.2011","RMS.ind.2012","RMS.ind.2013","RMS.ind.2014","RMS.ind.2015","RMS.ind.2016","RMS.ind.2017","RMS.ind.2018","RMS.ind.2019","RMS.ind.2020","RMS.ind.2021","RMS.ind.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373,30.1809198953373
12,"DZA","Algeria",12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839,12.4385696857839
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685,17.5721544522685
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434,8.97798999702434
32,"ARG","Argentina",5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905,5.47719296647905
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
